id,title,translation,number,key,meter,piece_type,appears_in,composer,arranger,publisher,publication_place,copyright_holder,copyright_year,medium,file_name,notes,audio_recording
168,Musik Polka,Polka Music,,D major,2/4,polka,V+E Polish Dance Collection no. 5,,Louis Vitak,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,168_musik-polka_print.pdf,,
169,Na Boisku,In the Barn,2677,G major,2/4,polka,V+E Polish Dance Collection no. 5,Fr. Dukli,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1928,print,169_na-boisku_print.pdf,,
170,Na Chrzcinach u Dubiela,At Dubiel’s Christening,,D major,3/8,oberek,Polish Dance Album No. 10,,Henry Silberhorn,W. H. Sajewski,"1017 Milwaukee Ave., Chicago, Ill.",W. H. Sajewski,1927,print,170_na-chrzcinach-dubiela_print.pdf,,
171,Na Falach Dunaju,On the Waves of the Danube,,D major,3/4,waltz,,,,W. H. Sajewski,"1011 Milwaukee Ave., Chicago, Ill.",W. H. Sajewski,1912,print,171_na-falach-dunaju_print.pdf,"Alternate arrangement of ID#051, ""Danube Waves Waltz""",
172,Na Lewo,On the Left,2148,D major,3/4,kujawiak,,,J. Sinsky,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,172_na-lewo-fragment_print.pdf,,
174,Na Lewo od Borzęcina,To the Left of Borzęcin,,D major,3/8,oberek,Polish Dance Album No. 10,,Henry Silberhorn,W. H. Sajewski,"1017 Milwaukee Ave., Chicago, Ill.",W. H. Sajewski,1927,print,174_na-lewo-od_print.pdf,,
175,Na Piszę Karteczke do Rzymy,I'm Writing a Note to Rome,15053,G major,2/4,polka,,,Sta. Sobas,John Sitek,,John Sitek,1931,print,175_na-pisze-karteczke_print.pdf,,
176,Na Szary Wisły Brzeg,On the Gray Bank of the Vistula,,G major,3/4,,,,,,,,,pen,176_na-szary-wisly_pen.pdf,,
177,Na Wykretke,With a Spin,2662,D major,3/4,oberek,V+E Polish Dance Collection no. 5,Fr. Dukli,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1927,print,177_na-wykretke_print.pdf,,
178,Na Źielonej Łące,On the Green Meadow,15034,D major,2/4,polka,,,,John Sitek,,,,print,178_na-zielonej-lace_print.pdf,,
